,Recipe ID,Ingredients,Ingredients_text,Ingredients_list,Vector
0,AME_01,"['1 Cup  all-purpose flour', '1 tbsp sugar', '1 tsp baking powder', 'A pinch of salt', '1  ripe banana, mashed', '1 cup milk', '2 tbsp melted butter or oil']",Cup   purpose flour tbsp sugar tsp baking powder pinch salt   ripe banana mashed cup milk tbsp melted butter oil,"['Sugar', 'Powder', 'Salt', 'Banana', 'Milk', 'Butter', 'Oil']","[0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1,AME_02,"['1 Cup leftover cooked rice', '1 cup all-purpose flour', '1 tbsp granulated sugar', '1 tsp baking powder', '1/2 tsp baking soda', '1/4 tsp salt', '1 cup buttermilk/milk', '1 large egg', '2 tbsp melted butter/oil', '1 tbsp vanilla extract (optional)']",Cup leftover cooked rice cup purpose flour tbsp granulated sugar tsp baking powder tsp baking soda tsp salt cup buttermilk milk large egg tbsp melted butter oil tbsp vanilla extract optional,"['Sugar', 'Powder', 'Salt', 'Milk', 'Butter', 'Oil', 'Buttermilk', 'Buttermilk']","[0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2,AME_03,"['4 tsp oil', '2  boiled potatoes', '1 tsp butter', '1  onion , chopped', '1  Tomato', '1  capsicum , chopped', 'coriander , chopped', '1/2 cup diced paneer', '1 tsp garlic paste', '1 tsp coriander powder', '1 tsp garam masala', '1 tsp red chili powder', 'Salt to taste', '2 hot dog buns', 'Tomato sauce', 'Mint chutney', 'Mustard sauce', 'Mayonnaise', '2 cheese slices', 'Tomato sauce', 'Salt as per taste']",tsp oil   boiled potatoes tsp butter   onion chopped   Tomato   capsicum chopped coriander chopped cup diced paneer tsp garlic paste tsp coriander powder tsp garam masala tsp red chili powder Salt taste hot dog buns Tomato sauce Mint chutney Mustard sauce Mayonnaise cheese slices Tomato sauce Salt taste,"['Powder', 'Salt', 'Butter', 'Oil', 'Onion', 'Tomato', 'Capsicum', 'Coriander', 'Mint', 'Chutney', 'Mustard', 'Garlic', 'Mayonnaise', 'Mint']","[0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
3,AME_04,"['2  Ripe Banana', '2  Eggs', '1 tsp vanilla extract', '1/2 cups quick-cook oats', '1 tsp cinnamon']",  Ripe Banana   Eggs tsp vanilla extract cups quick cook oats tsp cinnamon,"['Banana', 'Oats', 'Eggs', 'Cinnamon']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
4,AME_05,"['2  Bananas', '2  Eggs', '2 tbsp oats/flour']",  Bananas   Eggs tbsp oats flour,"['Oats', 'Eggs']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
5,AME_06,"['1  whole turkey', '100 gms butter', '100 gms onion, chopped', '100 gms celery, chopped', '10 gms crumbled sage and thyme', 'to taste salt and pepper', '10 gms garlic minced', 'balsamic vinegar', '20 gms sugar', '150 gms cranberry']",  turkey gms butter gms onion chopped gms celery chopped gms crumbled sage thyme taste salt pepper gms garlic minced balsamic vinegar gms sugar gms cranberry,"['Sugar', 'Salt', 'Butter', 'Onion', 'Turkey', 'Celery', 'Sage', 'Thyme', 'Garlic']","[0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6,AME_07,"['30 gms babycorn', '30 gms carrot', '20 gms water chestnuts', '15 ml coconut milk', '20 gms pineapple', '0.5 gms negi (welsh onion)', '0.5 gms red quinoa', '2 gms himalayan salt', '0.5 gms black pepper', '20 gms sweet corn', '30  coriander green', '40 gms lemon', '0.5 gms micro green']",gms babycorn gms carrot gms water chestnuts ml coconut milk gms pineapple gms negi welsh onion gms red quinoa gms himalayan salt gms black pepper gms sweet corn   coriander green gms lemon gms micro green,"['Salt', 'Milk', 'Onion', 'Coriander', 'Babycorn', 'Carrot', 'Pineapple', 'Negi', 'Quinoa', 'Water', 'Negi']","[0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
7,AME_08,"['1 Cup Yellow cornmeal', '1 tsp Sugar', '1/2 tsp Baking soda', '1/2 tsp Salt', '1 cup Buttermilk (well-shaken)', '1  Egg', '1/4 pound  Cheddar (extra sharp), grated', '1/4 cup Scallion (white and pale green parts only), finely chopped', '1-2 tbsp Pickled jalapenos (drained), finely chopped', '1/4 cup Unsalted butter, melted', 'Special equipment:', '2  Well-seasoned cast-iron corn-stick pans', '(Each with 7 (5- by 1 1/2-inch) molds*, or a well-seasoned 9-inch cast-iron skillet)']",Cup Yellow cornmeal tsp Sugar tsp Baking soda tsp Salt cup Buttermilk shaken   Egg pound   Cheddar extra sharp grated cup Scallion white pale green parts finely chopped tbsp Pickled jalapenos drained finely chopped cup Unsalted butter melted Special equipment   seasoned cast iron corn stick pans 5- inch molds seasoned inch cast iron skillet,"['Sugar', 'Salt', 'Butter', 'Scallion', 'Buttermilk', 'Buttermilk']","[0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
8,AME_09,"['80 Gram Prawns', '15 gram Gherkin', '15  Onion', '5 gram Cilantro', '15 gram Mix bell pepper', '15 ml Tiger milk', '25 gram Sweet corn', '2 gram Sea salt', '1 gram Black pepper', '25 ml Green lemon juice', '15 gram Cherry tomato', '2 gram Edible flower', 'For Tiger milk:', '1 tsp Coriander stems, chopped', '1/2 tsp Celery stalks', '1/4 tsp Garlic', '1/4 tsp Ginger', '1 tsp Red onion', '30 ml Lemon juice', '3-4 gram Sea salt', '2-3 gram Black pepper']",Gram Prawns gram Gherkin   Onion gram Cilantro gram Mix bell pepper ml Tiger milk gram Sweet corn gram Sea salt gram Black pepper ml Green lemon juice gram Cherry tomato gram Edible flower Tiger milk tsp Coriander stems chopped tsp Celery stalks tsp Garlic tsp Ginger tsp Red onion ml Lemon juice gram Sea salt gram Black pepper,"['Salt', 'Milk', 'Onion', 'Tomato', 'Coriander', 'Celery', 'Gram', 'Prawns', 'Gherkin', 'Cilantro', 'Garlic', 'Cherry', 'Ginger']","[0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
9,AME_10,"['1 Cup Quinoa', '1/2 cup Milk', '1 tsp Olive oil', '1  Egg (slightly beaten)', '1/2 tsp Baking powder', '1/2 tsp Orange essence', '2 tbsp Castor sugar', '2 tbsp Maple syrup', '7-8  Strawberries (to garnish)']",Cup Quinoa cup Milk tsp Olive oil   Egg slightly beaten tsp Baking powder tsp Orange essence tbsp Castor sugar tbsp Maple syrup   Strawberries garnish,"['Sugar', 'Powder', 'Milk', 'Oil', 'Quinoa']","[0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
10,AME_11,"['335 Gram Softened butter', '235 gram Breakfast sugar', '112 gram Cashew nut powder', '56 gram Almond powder', '2  Whole eggs', '40 gram Flour', '7 gram Cinnamon powder', '7 gram Baking powder', 'A pinch of Salt', '1 jar  Raspberry jam', 'To dust  Icing sugar']",Gram Softened butter gram Breakfast sugar gram Cashew nut powder gram Almond powder   eggs gram Flour gram Cinnamon powder gram Baking powder pinch Salt jar   Raspberry jam dust   Icing sugar,"['Sugar', 'Powder', 'Salt', 'Butter', 'Gram', 'Cinnamon', 'Ice']","[0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
11,AME_12,"['200 gms dark chocolate (best quality, 70% cocoa solids))', '150 gms plain flour', '1 tsp baking powder', 'A pinch of salt', '120 gms soft butter, unsalted', '200 gms vanilla sugar', '2  Eggs', '1  Egg yolk', '4 tbsp coffee (freshly made, strong)', 'For buttercream:', '140 gms softened butter', '280 gms icing sugar', 'Edible green colour (few drops)']",gms dark chocolate best quality cocoa solids gms plain flour tsp baking powder pinch salt gms soft butter unsalted gms vanilla sugar   Eggs   Egg yolk tbsp coffee freshly strong buttercream gms softened butter gms icing sugar Edible green colour drops,"['Sugar', 'Powder', 'Salt', 'Butter', 'Eggs', 'Coffee', 'Ice']","[0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
12,AME_13,"['800 Gram Minced Lamb', '60 gram Leeks, chopped', '150 gram Carrot (diced)', '75 gram Onion, chopped', 'Few sprigs  Rosemary', '2 tsp Tomato paste', '2 nos Bay leaf', '2 nos Garlic cloves', '50 gram Butter (for pie)', '2 sheets  Puff Pastry', '3 tbsp Plain flour', '3 tbsp Olive oil', 'to taste Salt', 'to taste Pepper']",Gram Minced Lamb gram Leeks chopped gram Carrot diced gram Onion chopped sprigs   Rosemary tsp Tomato paste nos Bay leaf nos Garlic cloves gram Butter pie sheets   Puff Pastry tbsp Plain flour tbsp Olive oil taste Salt taste Pepper,"['Salt', 'Butter', 'Oil', 'Onion', 'Tomato', 'Carrot', 'Gram', 'Leeks', 'Garlic', 'Rosemary']","[0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
13,AME_14,"['For Breadstick DoughL', '1 cup Warm Water', '3 tbsp Brown Sugar', '1 tbsp Salt', '1/4 cup Oil', '3 cups Bread flour', '2 1/2 tbsp Yeast', 'For rolls:', '11 Ounce  Breadstick dough (refrigerated)', '8  Hot Dogs', 'Mustard', 'Poppy Seed']",Breadstick DoughL cup Warm Water tbsp Brown Sugar tbsp Salt cup Oil cups Bread flour tbsp Yeast rolls Ounce   Breadstick dough refrigerated   Hot Dogs Mustard Poppy Seed,"['Sugar', 'Salt', 'Oil', 'Mustard', 'Water']","[0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
